"_id","created","modified","numencuesta","cargadorx","residenciaProvincia","residenciaPartido","residenciaPartidoNS","residenciaCiudad","residenciaCiudadNS","identidad","otraIdentidad","identidadSub","edad","edadExpresion","estadoCivil","otroEstadoCivil","nacimientoPais","nacimientoPaisNS","nacimientoProvincia","nacimientoProvinciaNS","nacimientoPartido","nacimientoPartidoNS","nacimientoCiudad","nacimientoCiudadNS","maxEduca","maxEducaObs","estudiosIncompletosMotivos","estudiosIncompletosMotivosOtros.estudiosIncompletosMotivoOtro","estudiosDeseaCompletar","viviendaCual","viviendaCualOtra","viviendaCondicion","viviendaOtraCondicion","viviendaObs","integrantes.integrante","integrantes.aportante","integrantes.aCargo","integrantesOtrxsIncluir","otrxsIntegrantes.otrxIntegrante","otrxsIntegrantes.otrxAportante","otrxsIntegrantes.otrxACargo","mismosFamiliares","emanciparEdad","emanciparMotivos","emanciparMotivosOtros.emanciparMotivoOtro","crianzaVinculos","crianzaVinculosOtros.crianzaVinculoOtros","crianzaVinculosObs","remuneradasRealiza","remuneradas.remuneradaNombre","remuneradas.remuneradaEsProstitucion","prostitucionEdad","sinOcupacion","ingresos","ingresosOtros","remuneradasBeneficios","ingresosBusca","ingresosBuscaDificulta","ocupacionPerdio","politicasConoce","politicasCuales.politicaCual","cursoRealizo","cursoSirvio","consultaEspaciosNS","consultaEspaciosSinOrdenar","consultaEspacios.consultaEspacioOrden","consultaEspacios.consultaEspacio","consultaEspacios.consultaEspacioCual","consultaEspacioPrincipalUbicacion","consultaEspacioPrincipalUbicacionOtra","accesoDificultades","accesoDificultadesOtras.accesoDificultadOtra","saludConsultas.1","saludConsultas.2","saludConsultas.3","saludConsultas.4","saludConsultas.5","saludConsultas.6","saludConsultas.7","saludConsultas.8","saludConsultas.9","saludConsultas.10","saludConsultas.11","saludConsultas.12","saludConsultasOtras.saludConsultaOtra","sinModificaciones","intervenciones.intervencion","intervenciones.intervencionRealizacion","intervenciones.intervencionLugar","intervenciones.intervencionAno","intervencionesOtras.intervencionOtra","intervencionesOtras.intervencionOtraRealizacion","intervencionesOtras.intervencionOtraLugar","intervencionesOtras.intervencionOtraAno","noModificaMotivosNS","noModificaMotivos.noModificaMotivo","noModificaMotivos.noModificaMotivosOtro","noModificaMotivos.noModificaMotivoInstitucion","violenciaExperimento","situacionesNunca","situaciones.1","situaciones.2","situaciones.3","situaciones.4","situaciones.7","situacionesOtras.situacionOtra","violentxs.1","violentxs.2","violentxs.3","violentxs.4","violentxs.5","violentxs.7","violentxs.8","violentxsOtrxs.violentxOtrx","violenciaLugares.1","violenciaLugares.2","violenciaLugares.3","violenciaLugares.4","violenciaLugares.5","violenciaLugares.6","violenciaLugares.7","violenciaLugares.8","violenciaLugares.9","violenciaLugares.10","violenciaLugaresOtros.violenciaLugarOtro","denunciaLugares","noDenunciaMotivo","denunciaLugaresOtros.denunciaLugarOtro","denunciaAtencion","policialActos.1","policialActos.2","policialActos.3","policialActos.4","policialActos.5","policialActos.6","policialActos.7","policialActos.8","policialActos.9","policialActos.10","policialActosOtros.policialActoOtro","leyConoce","cambioHizo","tramiteAyudantes","tramiteAyudantesOtrxs.tramiteAyudanteOtrx","noCambioRazones","noCambioRazonesOtras.noCambioRazonOtra","derechos.1","derechos.2","derechos.3","derechos.4","derechos.5","derechos.6","derechosOtrosIncluir","derechosOtros.derechoOtro","derechosOtros.derechoAccesoOtro","leyCambios.1","leyCambios.2","leyCambios.3","leyCambios.4","leyCambios.5","leyCambios.6","leyCambios.7","leyCambios.8","leyCambios.9","leyCambios.10","leyCambios.11","conoceOrga","conoceOrgaCuales.conoceOrgaCual","participaOrga","participaOrgaCuales.participaOrgaCual","conocePrograma","conoceProgramasCuales.conoceProgramaCual","participaPrograma","participaProgramasCuales.participaProgramaCual"
"5cbdd35cd88f10062c5543df","2019-04-22 02:44 PM UTC","2019-04-22 02:44 PM UTC","39","ele","Buenos Aires","2","false","30","false","3",,,"46","18","1",,"Argentina","false","1","false",,"false",,"false","7",,,"""""",,"1",,"1",,,"""1"",""2"",""3""","""no"",""si"",""principal""","""false"",""false"",""false""","false","""""","""no""","""false""","si",,,"""""",,"""""",,"si","""27""","""false""",,"false","""99""",,"""1""","si","si","si","si","""12""","no",,"false","false","""1""","""2""","""""","1",,"""3""","""""","no","no","no","no","no","no","no","no","no","si","si","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""no"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""1990"","""","""","""","""","""",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","no","false","si","no","no","no","no","""""","no","no","no","no","no","no","si","""""","no","no","no","no","si","no","no","no","si","no","""""","""1""","3","""""",,"si","si","no","no","no","si","no","no","si","no","""""","si","siTengo","""1""","""""",,"""""","igual","igual","igual","igual","igual","mejor","false","""""","""undefined""","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","si","""3"",""16""","si","""2"",""10""","no","""""",,""""""
"5cb8d1bed88f10062c5543de","2019-04-18 07:36 PM UTC","2019-04-23 09:25 PM UTC","3","ele","Buenos Aires","10","false","15","false","3",,,"54","18","1",,"Argentina","false","1","false",,"false","99","false","3",,"""3""","""""","si","1",,"1",,,"""1"",""2""","""si"",""principal""","""false"",""false""","false","""""","""no""","""false""","si",,,"""""",,"""""",,"si","""99""","""false""",,"false","""99""",,"""99""","si","no","no","no","""""",,,"false","false","""1""","""2""","""""","1",,"""7""","""""","si","si","si","no","no","no","no","si","no","si","si","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""si"",""no"",""no"",""si"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""1994"","""",""2018"","""","""",""1980"",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","no","false","si","no","no","no","no","""""","no","si","si","no","no","si","no","""""","ns","no","no","no","si","no","no","no","no","no","""""","""3""",,"""""","2","si","si","no","no","no","si","si","no","no","no","""""","si","siTengo","""1""","""""",,"""""","igual","igual","igual","igual","peor","peor","false","""""","""undefined""","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","si","""3"",""10""","si","""5""","no","""""",,""""""
"5cb8d1bed88f10062c5543dd","2019-04-18 07:36 PM UTC","2019-04-23 09:24 PM UTC","3","ele","Buenos Aires","10","false","15","false","3",,,"54","18","1",,"Argentina","false","1","false",,"false","99","false","3",,"""3""","""""","si","1",,"1",,,"""1"",""2""","""si"",""principal""","""false"",""false""","false","""""","""no""","""false""","si",,,"""""",,"""""",,"si","""99""","""false""",,"false","""99""",,"""99""","si","no","no","no","""""",,,"false","false","""1""","""2""","""""","1",,"""7""","""""","si","si","si","no","no","no","no","si","no","si","si","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""si"",""no"",""no"",""si"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""1994"","""",""2018"","""","""",""1980"",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","no","false","si","no","no","no","no","""""","no","si","si","no","no","si","no","""""","ns","no","no","no","si","no","no","no","no","no","""""","""3""",,"""""","2","si","si","no","no","no","si","si","no","no","no","""""","si","siTengo","""1""","""""",,"""""","igual","igual","igual","igual","peor","peor","false","""""","""undefined""","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","si","""3"",""10""","si","""5""","no","""""",,""""""
"5cb8ce0bd88f10062c5543dc","2019-04-18 07:20 PM UTC","2019-04-23 09:24 PM UTC","4","ele","Buenos Aires","2","false","16","false","1",,"m","59","13","1",,"Argentina","false","4","false","8","false",,"false","2",,"""4"",""6""","""""","no","1",,"1",,,"""1"",""3""","""si"",""principal""","""false"",""false""","false","""""","""no""","""false""",,"ns","""99""","""""","""99""","""""",,"si","""13""","""false""",,"false","""2"",""3""",,"""3""","si","no","no","no","""""",,,"false","false","""1""","""1""","""""","2",,"""7""","""""","si","si","si","si","si","no","no","si","no","si","si",,"""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""si"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""1972"","""","""",""1990"",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","si","false","si","si","si","si","no","""""","no","si","no","no","no","si","no","""""","no","no","no","si","si","si","no","si","no","no","""""","""2""",,"""""","5","si","si","si","si","si","si","si","no","si","no","""""","no","no",,"""""","""1""","""""","ns","ns","igual","peor","mejor","mejor","false","""""","""undefined""","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","si","""3""","no","""""","no","""""",,""""""
"5cb8cbded88f10062c5543db","2019-04-18 07:11 PM UTC","2019-04-23 09:23 PM UTC","1","ele","Buenos Aires","2","false","16","false","2",,"ns","60","0","1",,"Argentina","false","2","false","1","false","12","false","2",,"""4""","""""","no","1",,"4",,,"""1"",""2"",""5""","""no"",""principal"",""no""","""false"",""false"",""false""","false","""""","""no""","""false""","si",,,"""""",,"""""",,"si","""14""","""false""",,"false","""2""",,"""3""","si","no","no","si","""9""","si","si","false","false","""1""","""1""","""""","1",,"""7""","""""","no","no","no","si","no","no","no","no","no","si","no","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""no"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""1982"","""","""","""","""","""",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","si","false","si","no","no","si","no","""""","no","no","no","no","no","si","no","""""","ns","no","no","no","no","si","no","no","no","no","""""","""2""",,"""""","1","no","si","no","no","no","no","no","no","no","no","""""","no","siTengo","""1""","""""",,"""""","igual","mejor","igual","igual","mejor","mejor","false","""""","""undefined""","mejor","igual","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","si","""3""","si","""5""","no","""""",,""""""
"5cb8c945d88f10062c5543da","2019-04-18 07:00 PM UTC","2019-04-18 07:00 PM UTC","2","ele","Buenos Aires","2","false","17","false","3",,,"60","13","1",,"Argentina","false","1","false",,"false",,"false","3",,"""3"",""5""","""""","si","1",,"4",,,"""1"",""3""","""principal"",""principal""","""false"",""false""","false","""""","""no""","""false""",,"13","""1"",""3""","""""","""1""","""""",,"si","""15""","""true""",,"false","""99""",,"""3""","no",,"si","no","""""",,,"false","false","""1""","""1""","""""","1",,"""1"",""4""","""""","no","no","no","no","no",,"no","no","no","no","no","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""no"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""1979"","""","""","""","""","""",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","si","false","si","si","si","si","no","""""","no","si","no","si","no","no","no","""""","no","no","no","si","si","si","no","no","no","no","""""","""1""","14","""""",,"si","si","si","si","si","si","si","si","si","no","""""","no","siTengo","""1""","""""",,"""""","igual","igual","igual","mejor","peor","igual","false","""""","""undefined""","igual","igual","mejor","igual","mejor","mejor","igual","mejor","mejor","nsNc","mejor","si","""3""","si","""5""","no","""""",,""""""
"5cb8c678d88f10062c5543d9","2019-04-18 06:48 PM UTC","2019-04-18 06:48 PM UTC","40","ele","Buenos Aires","2","false","18","false","1",,"ns","58","13","1",,"Argentina","false","2","false","1","false","13","false","3",,"""5""","""""","si","1",,"2",,,"""1""","""principal""","""false""","false","""""","""no""","""false""",,"26","""99""","""""","""3""","""""",,"si","""16"",""1""","""false"",""false""",,"false","""1"",""4""",,"""99""","no",,"si","si","""5""","no",,"false","false","""1""","""1""","""""","1",,"""7""","""""","no","si","no","no","no","no","no","no","no","si","si","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""no"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""1987"","""","""","""","""","""",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","si","false","si","si","no","no","no","""""","si","si","no","no","no","si","no","""""","no","si","si","si","si","si","no","si","no","no","""""","""1""","15","""""",,"si","si","si","no","si","si","si","si","si","no","""""","algo","siTramite","""1""","""""",,"""""","mejor","mejor","mejor","mejor","mejor","mejor","false","""""","""undefined""","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","si","""3""","si","""5""","no","""""",,""""""
"5cb8c2ddd88f10062c5543d8","2019-04-18 06:33 PM UTC","2019-04-18 06:33 PM UTC","263","ele","Buenos Aires","1","false","1","false","4",,,"20","18","1",,"Argentina","false","2","false","5","false","25","false","5",,,"""""",,"1",,"1",,,"""1"",""2""","""si"",""principal""","""false"",""false""","false","""""","""no""","""false""","si",,,"""""",,"""""",,"si","""15""","""true""","19","false","""99""",,"""3""","no",,"no","no","""""",,,"false","false","""1"",""2""","""1"",""6""",""""",""""","1",,"""7""","""""","no","si","no","si","no","no","no","no","no","si",,"no","""""","true",""""","""","""","""","""","""",""""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""","""","""","""","""",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","si","false","si","no","si","no","no","""""","no","si","si","no","si","si","no","""""","si","si","no","no","si","si","no","si","no","no","""""","""5""",,"""""",,"no","no","no","no","si","si","no","no","si","no","""""","si","no",,"""""","""7""","""12""","ns","ns","mejor","ns","igual","ns","false","""""","""undefined""","mejor","mejor","igual","mejor","igual","mejor","nsNc","igual","igual","peor","igual","si","""17"",""1"",""18""","si","""11""","no","""""",,""""""
"5cb8c026d88f10062c5543d7","2019-04-18 06:21 PM UTC","2019-04-18 06:21 PM UTC","261","ele","Buenos Aires","3","false","3","false","2",,"f","29","7","1",,"Argentina","false","2","false","12","false","18","false","8",,"""4"",""5""","""""","si","1",,"6","3",,"""1"",""2"",""3""","""principal"",""si"",""si""","""false"",""false"",""false""","false","""""","""no""","""false""","si",,,"""""",,"""""",,"si","""28"",""3"",""1""","""false"",""false"",""false""",,"false","""2""",,"""1"",""2""","si","si","si","si","""99""","si","si","false","false","""1"",""2"",""3"",""4"",""5"",""6""","""6"",""3"",""4"",""1"",""2"",""5""",""""",""99"","""","""","""",""""","1",,"""1"",""2"",""4""","""""","si","si","no","no","no","si","no","si","no","ns","no","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""2018"","""","""","""",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","si","false","si","si","si","si","no","""""","si","si","si","si","si","si","no","""""","si","si","si","no","si","si","si","si","no","no","""""","""1""","1","""""",,"no","no","no","no","si","no","no","no","si","no","""""","si","siTengo","""2""","""""",,"""""","mejor","mejor","mejor","igual","peor","igual","false","""""","""undefined""","mejor","mejor","igual","mejor","mejor","igual","mejor","igual","igual","peor","mejor","si","""3""","independiente","""""","si","""8"",""9""","si","""15"""
"5cb7611bd88f10062c5543d6","2019-04-17 05:23 PM UTC","2019-04-17 05:23 PM UTC","82","ele","Buenos Aires","5","false","27","false","3",,,"31","0","1",,"Argentina","false","2","false","3","false","22","false","8",,"""1""","""""","si","1",,"1",,,"""1"",""4""","""principal"",""si""","""true"",""false""","false","""""","""no""","""false""",,"7","""1""","""""","""1""","""""",,"si","""25""","""false""",,"false","""1""",,"""1"",""2""","si","no","no","ns","""""",,,"false","true",""""","""","""","""",""""","""1"",""2"",""3"",""4"",""5""",""""","""",""5"","""",""""","1",,"""1"",""2"",""3"",""4"",""5""","""""","si","no","si","si","ns","ns","si","si","no","si","si","no","""""","false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""si"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""99"","""","""",""99"",""""","""""","""si""","""undefined""","""""","false","undefined undefined","""""","""undefined""","si","false","si","si","si","si","no","""""","si","si","no","no","si","si","no","""""","no","si","si","si","si","si","no","si","no","no","""""","""1""","22","""""",,"si","si","si","si","si","si","si","si","si",,"""""","si","siTengo","""1""","""""",,"""""","mejor","mejor","igual","peor","peor","igual","false","""""","""undefined""","mejor","mejor","igual","igual","igual","igual","igual","igual","igual","peor","igual","si","""3"",""13"",""14"",""15""","si","""7"",""8""","si","""6"",""7""","si","""1"""
