"_id","created","modified","numencuesta","cargadorx","residenciaProvincia","residenciaPartido","residenciaPartidoNS","residenciaCiudad","residenciaCiudadNS","identidad","otraIdentidad","identidadSub","edad","edadExpresion","estadoCivil","otroEstadoCivil","nacimientoPais","nacimientoPaisNS","nacimientoProvincia","nacimientoProvinciaNS","nacimientoPartido","nacimientoPartidoNS","nacimientoCiudad","nacimientoCiudadNS","maxEduca","maxEducaObs","estudiosIncompletosMotivos","estudiosIncompletosMotivosOtros.estudiosIncompletosMotivoOtro","estudiosDeseaCompletar","viviendaCual","viviendaCualOtra","viviendaCondicion","viviendaOtraCondicion","viviendaObs","integrantes.integrante","integrantes.aportante","integrantes.aCargo","integrantesOtrxsIncluir","otrxsIntegrantes.otrxIntegrante","otrxsIntegrantes.otrxAportante","otrxsIntegrantes.otrxACargo","mismosFamiliares","emanciparEdad","emanciparMotivos","emanciparMotivosOtros.emanciparMotivoOtro","crianzaVinculos","crianzaVinculosOtros.crianzaVinculoOtros","crianzaVinculosObs","remuneradasRealiza","remuneradas.remuneradaNombre","remuneradas.remuneradaEsProstitucion","prostitucionEdad","sinOcupacion","ingresos","ingresosOtros","remuneradasBeneficios","ingresosBusca","ingresosBuscaDificulta","ocupacionPerdio","politicasConoce","politicasCuales.politicaCual","cursoRealizo","cursoSirvio","consultaEspaciosNS","consultaEspaciosSinOrdenar","consultaEspacios.consultaEspacioOrden","consultaEspacios.consultaEspacio","consultaEspacios.consultaEspacioCual","consultaEspacioPrincipalUbicacion","consultaEspacioPrincipalUbicacionOtra","accesoDificultades","accesoDificultadesOtras.accesoDificultadOtra","saludConsultas.1","saludConsultas.2","saludConsultas.3","saludConsultas.4","saludConsultas.5","saludConsultas.6","saludConsultas.7","saludConsultas.8","saludConsultas.9","saludConsultas.10","saludConsultas.11","saludConsultas.12","saludConsultasOtras.saludConsultaOtra","sinModificaciones","intervenciones.intervencion","intervenciones.intervencionRealizacion","intervenciones.intervencionLugar","intervenciones.intervencionAno","intervencionesOtras.intervencionOtra","intervencionesOtras.intervencionOtraRealizacion","intervencionesOtras.intervencionOtraLugar","intervencionesOtras.intervencionOtraAno","noModificaMotivosNS","noModificaMotivos.noModificaMotivo","noModificaMotivos.noModificaMotivosOtro","noModificaMotivos.noModificaMotivoInstitucion","violenciaExperimento","situacionesNunca","situaciones.1","situaciones.2","situaciones.3","situaciones.4","situaciones.7","situacionesOtras.situacionOtra","violentxs.1","violentxs.2","violentxs.3","violentxs.4","violentxs.5","violentxs.7","violentxs.8","violentxsOtrxs.violentxOtrx","violenciaLugares.1","violenciaLugares.2","violenciaLugares.3","violenciaLugares.4","violenciaLugares.5","violenciaLugares.6","violenciaLugares.7","violenciaLugares.8","violenciaLugares.9","violenciaLugares.10","violenciaLugaresOtros.violenciaLugarOtro","denunciaLugares","noDenunciaMotivo","denunciaLugaresOtros.denunciaLugarOtro","denunciaAtencion","policialActos.1","policialActos.2","policialActos.3","policialActos.4","policialActos.5","policialActos.6","policialActos.7","policialActos.8","policialActos.9","policialActos.10","policialActosOtros.policialActoOtro","leyConoce","cambioHizo","tramiteAyudantes","tramiteAyudantesOtrxs.tramiteAyudanteOtrx","noCambioRazones","noCambioRazonesOtras.noCambioRazonOtra","derechos.1","derechos.2","derechos.3","derechos.4","derechos.5","derechos.6","derechosOtrosIncluir","derechosOtros.derechoOtro","derechosOtros.derechoAccesoOtro","leyCambios.1","leyCambios.2","leyCambios.3","leyCambios.4","leyCambios.5","leyCambios.6","leyCambios.7","leyCambios.8","leyCambios.9","leyCambios.10","leyCambios.11","conoceOrga","conoceOrgaCuales.conoceOrgaCual","participaOrga","participaOrgaCuales.participaOrgaCual","conocePrograma","conoceProgramasCuales.conoceProgramaCual","participaPrograma","participaProgramasCuales.participaProgramaCual"
"5cd0c8d2d4bd595eb1783337","2019-05-06 11:52 PM UTC","2019-05-06 11:52 PM UTC","732","lucia","Buenos Aires","42","false","80","false","3",,,"34","0","1",,"Argentina","false","2","false","64","false","73","false","2",,"""2""",,"si","6","2","2",,,"""1"",""2""","""no"",""principal""","""false"",""false""","false",,,,"si",,,,,,,"si","""69""","""false""",,,"""1""",,"""3""","no",,"no","no",,,,"false","false","""1""","""1""","""""","""1""",,"""1"",""2""",,"no","no","no","no","no","no","no","no","no","si","si","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""99"","""","""","""",""""",,,,,,,,,"no","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no","no","no","no","no","no","no","no","no","no",,"no","siTengo","""2""",,,,"igual","igual","igual","igual","igual","igual","false",,,"igual","igual","igual","igual","igual","igual","igual","igual","igual","igual","igual","si","""71""","si","""99""","no",,,
"5cd0bf83d4bd595eb1783336","2019-05-06 11:13 PM UTC","2019-05-06 11:13 PM UTC","730","lucia","Buenos Aires","39","false","78","false","3",,,"29","13","1",,"Argentina","false","11","false",,"true","42","false","8",,,,,"1",,"2",,,"""1""","""principal""","""false""","false",,,,,"13","""1""",,"""1""",,,"si","""26"",""13""","""false"",""false""",,,"""2""",,"""1"",""2""","no",,"ns","si","""18""","no",,"false","false","""1"",""2""","""3"",""1""","""17"",""""","""1""",,"""2"",""3""",,"si","si","si","no","no","no","no","no","no","si","si","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""2015"","""","""","""",""""",,,,,,,,,"si","false","si","si","si","no","no",,"no","si","si","si","si","si","no",,"si","si","no","si","si","no","si","no","si","si","""10""","""4""",,,"4","si","si","si","no","si","si","si","no","si","no",,"si","siTramite","""6""",,,,"mejor","igual","mejor","igual","igual","mejor","false",,,"mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","igual","si","""3"",""69"",""70"",""15""","si","""49"",""50""","no",,,
"5cd0bdccd4bd595eb1783335","2019-05-06 11:05 PM UTC","2019-05-06 11:40 PM UTC","731","lucia","Buenos Aires","42","false","79","false","8","9",,"50","18","1",,"Chile","false","27","false",,"true","106","false","4",,"""2"",""3""",,"no","1",,"1",,,"""1""","""principal""","""false""","false",,,,,"13","""2""",,"""1""",,,"si","""26"",""77"",""51""","""false"",""false"",""false""",,,"""1""",,"""3""","no",,"no","no",,,,"false","false","""1"",""2""","""4"",""2""",""""",""""","""1""",,"""7""",,"no","no","si","si","si","no","no","no","no","si","si","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""si"",""no"",""no"",""si"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""1998"","""",""1998"","""","""",""1994"",""""",,,,,,,,,"si","false","si","si","si","si","no",,"si","si","si","si","no","si","no",,"no","si","si","si","si","no","si","no","no","no",,"""2""",,,"4","si","si","si","si","si","si","si","no","si","si","""6""","si","siTengo","""5""",,,,"mejor","mejor","igual","peor","peor","peor","false",,,"peor","peor","mejor","mejor","mejor","mejor","igual","igual","igual","peor","igual","no",,,,"no",,,
"5cd0b50fd4bd595eb1783334","2019-05-06 10:28 PM UTC","2019-05-06 10:28 PM UTC","453","lucia","Buenos Aires","43","false","75","false","3",,,"49","13","1",,,"true",,"true",,"true",,"true","2",,"""2"",""4""",,"si","1",,"2",,,"""1""","""principal""","""false""","false",,,,,"ns","""99""",,"""99""",,,"si","""50""","""false""",,,"""1""",,"""3""","no",,"si","no",,,,"false","true",""""","""",""""","""1"",""2"",""3""",""""","""",""99""","""1""",,"""1"",""2""",,"si","no","no","no","no","no","no","no","no","si","si","no",,"true",,,,,,,,,"false","""2""","""""","""undefined""","si","false","si","si","si","si","no",,"si","si","si","si","si","si","no",,"si","si","si","si","si","si","si","no","no","no",,"""1""","""58""",,,"si","si","si","si","si","si","si","si","si","no",,"si","siTengo","""1""",,,,"mejor","igual","igual","igual","igual","mejor","false",,,"mejor","mejor","mejor","mejor","igual","igual","igual","mejor","mejor","mejor","nsNc","no",,,,"ns",,,
"5cd0b2afd4bd595eb1783333","2019-05-06 10:18 PM UTC","2019-05-06 10:18 PM UTC","452","lucia","Buenos Aires","43","false","75","false","3",,,"28","13","1",,"Argentina","false","2","false","26","false","65","false","4",,"""1""",,"ns","1",,"1",,,"""1"",""2""","""si"",""principal""","""false"",""false""","false",,,,"si",,,,,,,"si","""51""","""true""","99",,"""99""",,"""3""","no",,"ns","no",,,,"false","true",""""",""""","""1"",""2""",""""",""""","""1""",,"""1"",""2"",""4""",,"si","no","si","no","no","no","no","si","no","si","si","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""si"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""99"","""","""",""99"",""""",,,,,,,,,"si","false","si","si","si","si","no",,"si","si","si","no","no","si","no",,"no","no","si","si","si","si","si","no","no","no",,"""1""","""8""",,,"si","si","si","si","si","no","si","si","si","no",,"si","siTengo","""1""",,,,"mejor","igual","igual","peor","igual","mejor","false",,,"mejor","mejor","mejor","nsNc","mejor","igual","igual","igual","igual","mejor","igual","si","""46""","no",,"no",,,
"5cd0b05dd4bd595eb1783332","2019-05-06 10:08 PM UTC","2019-05-06 10:08 PM UTC","454","lucia","Buenos Aires","43","false","75","false","1",,"ns","51","18","1",,"Argentina","false","2","false","26","false","65","false","4",,"""1""",,"si","1",,"1",,,"""1"",""2""","""principal"",""si""","""false"",""true""","false",,,,"si",,,,,,,"si","""14""","""false""",,,"""1""",,"""1""","no",,"no","no",,,,"false","true",""""","""",""""","""1"",""2"",""3""",""""","""",""99""","""1""",,"""2"",""4""",,"si","no","no","no","no","no","no","no","no","si","si","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""99"","""","""","""",""""",,,,,,,,,"si","false","si","ns","ns","si","no",,"no","no","si","no","no","si","no",,"no","no","no","no","si","no","no","no","no","no",,"""1""","""99""",,,"si","si","no","no","si","no","no","no","si","no",,"si","siTengo","""1""",,,,"mejor","igual","mejor","igual","igual","mejor","false",,,"mejor","mejor","mejor","igual","mejor","igual","mejor","mejor","mejor","mejor","nsNc","no",,,,"no",,,
"5cd0ae49d4bd595eb1783331","2019-05-06 09:59 PM UTC","2019-05-06 09:59 PM UTC","455","lucia","Buenos Aires","44","false","77","false","1",,"ns","48","18","99",,"Argentina","false","2","false","44","false","75","false","3",,"""6""",,"si","1",,"3",,,"""1""","""principal""","""false""","false",,,,,"13","""3""",,"""1""",,,"si","""24""","""false""",,,"""1""",,"""1"",""2""","no",,"si","no",,,,"false","false","""1"",""2""","""1"",""2""",""""",""""","""1""",,"""1"",""2"",""4""",,"no","no","no","no","no","no","no","si","no","si","si","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""99"","""","""","""",""""",,,,,,,,,"si","false","si","si","si","si","no",,"no","no","no","no","no","si","no",,"no","no","no","no","si","si","no","no","no","no",,"""1""","""99""",,,"si","si","no","no","si","no","no","no","no","no",,"si","no",,,"""1""",,"mejor","igual","igual","igual","igual","mejor","false",,,"mejor","mejor","mejor","mejor","mejor","igual","igual","igual","igual","igual","nsNc","no",,,,"no",,,
"5cd0ac6bd4bd595eb1783330","2019-05-06 09:51 PM UTC","2019-05-06 09:51 PM UTC","421","lucia","Buenos Aires","18","false","37","false","8","19",,"19","18","1",,"Argentina","false","2","false","19","false","36","false","4",,"""1""",,"si","1",,"1",,,"""1"",""2""","""no"",""principal""","""false"",""false""","false",,,,"si",,,,,,,"si","""75""","""false""",,,"""99""",,"""3""","si","no","no","no",,,,"false","false","""1""","""4""","""""","""1""",,"""7""",,"no","no","no","si","no","si","no","si","no","si","si","no",,"true",,,,,,,,,"false","""1""","""""","""undefined""","no","false","si","no","no","no","no",,"no","no","no","si","no","si","no",,"si","si","no","no","no","no","no","no","no","no",,"""1""","""16""",,,"no","no","no","no","no","no","no","no","no","no",,"no","no",,,"""7""","""25""","mejor","mejor","mejor","ns","ns","ns","false",,,"mejor","mejor","mejor","mejor","mejor","igual","mejor","mejor","mejor","nsNc","mejor","no",,,,"si","""20""","si","""8"""
"5cd0aa1cd4bd595eb178332f","2019-05-06 09:41 PM UTC","2019-05-06 09:41 PM UTC","720","lucia","Buenos Aires","18","false","37","false","3",,,"23","13","1",,"Argentina","false","2","false","19","false","36","false","3",,"""7""",,"si","1",,"1",,,"""1"",""2""","""principal"",""no""","""false"",""false""","false",,,,"si",,,,,,,"no",,,,"true",,,,"si","si","no","no",,,,"false","false","""1"",""2"",""3""","""1"",""2"",""5""",""""","""",""""","""1""",,"""1""",,"no","si","si","no","no","no","no","no","no","si","no","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""si"",""no"",""no"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""","""2016"","""","""","""","""","""",""""",,,,,,,,,"si","false","si","si","no","no","no",,"no","no","no","no","no","no","si","""99""","no","no","no","no","si","no","no","no","no","no",,"""4""",,,"2","si","no","si","no","si","no","si","no","si","no",,"si","siTramite","""5""",,,,"mejor","igual","mejor","mejor","igual","mejor","false",,,"mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","mejor","si","""3"",""56""","no",,"no",,,
"5cd0a5e6d4bd595eb178332e","2019-05-06 09:23 PM UTC","2019-05-06 09:23 PM UTC","721","lucia","Buenos Aires","36","false","38","false","8","7",,"21","7","1",,"Argentina","false","2","false","39","false","37","false","5",,,,,"1",,"3",,,"""1"",""4""","""no"",""principal""","""false"",""false""","false",,,,,"18","""1"",""5""",,"""3""",,,"no",,,,"true",,,,"si","si","no","si","""42""","si","no","false","false","""1""","""1""","""""","""2""",,"""7""",,"si","si","no","no","no","no","si","si","no","no","si","no",,"false","""1"",""2"",""3"",""4"",""5"",""6"",""7""","""no"",""no"",""si"",""no"",""no"",""no"",""no""","""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined"",""undefined""",""""","""",""2019"","""","""","""",""""",,,,,,,,,"si","false","si","si","no","no","no",,"no","no","no","si","no","si","no",,"si","si","no","no","no","no","si","no","no","no",,"""1""","""53""",,,"no","no","no","no","no","no","no","no","no","no",,"si","no",,,"""6""",,"igual","igual","mejor","igual","peor","peor","false",,,"mejor","mejor","mejor","igual","nsNc","igual","nsNc","mejor","mejor","nsNc","igual","si","""3""","no",,"no",,,
